gene	targetability
PF3D7_1318200	V
PF3D7_1322500	V
PF3D7_1328800	V
PF3D7_1334300	V
PF3D7_1334400	V
PF3D7_1334500	V
PF3D7_1334600	V
PF3D7_1334700	V
PF3D7_1334800	V
PF3D7_1335000	V
PF3D7_1335100	V
PF3D7_1335300	V
PF3D7_1335400	V
PF3D7_1339900	V
PF3D7_1342100	V
PF3D7_1343000	V
PF3D7_1345700	V
PF3D7_1346700	V
PF3D7_1347200	V
PF3D7_1351600	V
PF3D7_1353100	V
PF3D7_1360500	V
PF3D7_1364100	V
PF3D7_1364900	V
PF3D7_1372200	V
PF3D7_1401300	V
PF3D7_1401600	V
PF3D7_1407000	V
PF3D7_1407800	V
PF3D7_1407900	V
PF3D7_1408000	V
PF3D7_1410400	V
PF3D7_1415400	V
PF3D7_1423600	V
PF3D7_1425600	V
PF3D7_1426500	V
PF3D7_1427100	V
PF3D7_1429200	V
PF3D7_1431500	V
PF3D7_1431900	V
PF3D7_1438900	V
PF3D7_1442600	V
PF3D7_1444500	V
PF3D7_1447900	V
PF3D7_1450000	V
PF3D7_1451400	V
PF3D7_1455800	V
PF3D7_1458000	V
PF3D7_1461800	V
PF3D7_1469600	V
PF3D7_1470500	V
PF3D7_1476300	V
PF3D7_1478600	V
