PbID	Yeastpheno
PBANKA_141410	inviable 
PBANKA_130130	viable 
PBANKA_020410	viable 
PBANKA_093890	inviable 
PBANKA_144150	inviable 
PBANKA_091120	viable 
PBANKA_132120	competitive fitness: decreased 
PBANKA_144890	inviable 
PBANKA_010130	inviable 
PBANKA_135690	inviable 
PBANKA_090450	inviable 
PBANKA_070800	inviable 
PBANKA_092150	inviable 
PBANKA_090740	inviable 
PBANKA_040190	inviable 
