PbID	Yeastpheno
PBANKA_145140	viable 
PBANKA_145050	inviable 
PBANKA_142940	viable 
PBANKA_051450	inviable 
PBANKA_071520	inviable 
PBANKA_113700	viable 
PBANKA_050660	viable 
PBANKA_083610	inviable 
PBANKA_121300	viable 
PBANKA_082970	inviable 
PBANKA_140200	viable 
PBANKA_070450	viable 
PBANKA_111190	inviable 
PBANKA_131620	inviable 
PBANKA_061100	inviable 
PBANKA_140780	inviable 
PBANKA_131440	viable 
PBANKA_133900	competitive fitness: decreased 
PBANKA_130570	viable 
PBANKA_112030	viable 
PBANKA_110540	inviable 
PBANKA_112990	#N/A
PBANKA_050160	viable 
PBANKA_102260	inviable 
PBANKA_082050	inviable 
PBANKA_102580	viable 
PBANKA_051770	viable 
PBANKA_114450	#N/A
PBANKA_130330	viable 
PBANKA_092440	inviable 
PBANKA_021190	competitive fitness: decreased 
PBANKA_124180	inviable 
PBANKA_121010	viable 
PBANKA_135500	viable 
PBANKA_123640	viable 
PBANKA_091820	inviable 
PBANKA_122840	inviable 
PBANKA_124400	viable 
PBANKA_103030	inviable 
PBANKA_133410	inviable 
PBANKA_040560	viable 
PBANKA_135180	inviable 
PBANKA_113420	inviable 
PBANKA_103190	inviable 
PBANKA_102790	#N/A
PBANKA_123560	inviable 
PBANKA_123820	competitive fitness: decreased 
PBANKA_140950	inviable 
PBANKA_112510	competitive fitness: decreased 
PBANKA_081350	viable 
PBANKA_144990	viable 
PBANKA_144490	competitive fitness: decreased 
PBANKA_062010	inviable 
PBANKA_082610	viable 
PBANKA_020540	inviable 
PBANKA_093990	inviable 
PBANKA_080510	inviable 
PBANKA_102830	inviable 
PBANKA_145620	inviable 
PBANKA_121660	viable 
PBANKA_100980	viable 
PBANKA_103320	viable 
PBANKA_130720	inviable 
PBANKA_110580	inviable 
PBANKA_070230	viable 
PBANKA_112550	viable 
PBANKA_050810	viable 
PBANKA_143920	inviable 
PBANKA_092780	inviable 
PBANKA_083490	inviable 
PBANKA_092380	viable 
PBANKA_080990	#N/A
PBANKA_100700	#N/A
PBANKA_070840	inviable 
PBANKA_144690	viable 
PBANKA_020380	inviable 
PBANKA_101080	viable 
PBANKA_060460	viable 
PBANKA_092300	viable 
PBANKA_120690	inviable 
PBANKA_111230	inviable 
PBANKA_050170	inviable 
PBANKA_051550	inviable 
PBANKA_114400	inviable 
PBANKA_141550	inviable 
PBANKA_092660	viable 
PBANKA_124200	viable 
PBANKA_141690	inviable 
PBANKA_132400	viable 
PBANKA_101770	viable 
PBANKA_122650	inviable 
PBANKA_091370	inviable 
PBANKA_041030	inviable 
PBANKA_122310	inviable 
PBANKA_123350	viable 
PBANKA_082100	inviable 
PBANKA_093140	#N/A
PBANKA_050360	inviable 
PBANKA_060510	viable 
PBANKA_121800	viable 
PBANKA_130410	inviable 
PBANKA_142110	viable 
PBANKA_083380	inviable 
PBANKA_122430	inviable 
PBANKA_146180	inviable 
PBANKA_111070	inviable 
PBANKA_020330	viable 
PBANKA_135420	viable 
PBANKA_040420	viable 
PBANKA_031310	viable 
PBANKA_122210	inviable 
PBANKA_101350	inviable 
PBANKA_111750	inviable 
PBANKA_130620	viable 
PBANKA_142730	#N/A
PBANKA_131080	inviable 
PBANKA_136540	viable 
PBANKA_130120	viable 
PBANKA_102810	inviable 
PBANKA_041550	inviable 
PBANKA_135470	inviable 
PBANKA_112190	competitive fitness: decreased 
PBANKA_060250	inviable 
PBANKA_050570	inviable 
PBANKA_145970	viable 
PBANKA_132520	#N/A
PBANKA_021360	#N/A
PBANKA_090220	viable 
PBANKA_113160	inviable 
PBANKA_143470	viable 
PBANKA_123220	inviable 
PBANKA_011090	viable 
PBANKA_124450	viable 
PBANKA_100940	viable 
PBANKA_145730	viable 
PBANKA_083360	inviable 
PBANKA_143320	viable 
PBANKA_136200	inviable 
PBANKA_112730	inviable 
PBANKA_082360	viable 
PBANKA_136050	viable 
PBANKA_090890	viable 
PBANKA_062050	inviable 
PBANKA_090600	viable 
PBANKA_142750	viable 
PBANKA_102470	inviable 
PBANKA_061080	viable 
PBANKA_051400	viable 
PBANKA_092280	inviable 
PBANKA_061610	viable 
PBANKA_121230	inviable 
PBANKA_100670	inviable 
PBANKA_132560	inviable 
PBANKA_111470	viable 
PBANKA_093920	inviable 
PBANKA_103600	inviable 
PBANKA_113190	viable 
PBANKA_070150	viable 
PBANKA_010500	viable 
PBANKA_113040	viable 
PBANKA_122870	inviable 
PBANKA_030630	inviable 
PBANKA_051870	viable 
PBANKA_133530	inviable 
PBANKA_113520	viable 
PBANKA_100910	viable 
PBANKA_122280	inviable 
PBANKA_101680	inviable 
PBANKA_141510	viable 
PBANKA_113480	inviable 
PBANKA_111810	inviable 
PBANKA_040150	inviable 
PBANKA_121130	viable 
PBANKA_121310	viable 
PBANKA_101320	viable 
PBANKA_061380	inviable 
PBANKA_131300	inviable 
PBANKA_070730	#N/A
PBANKA_021150	inviable 
PBANKA_100510	#N/A
PBANKA_030370	#N/A
PBANKA_080560	viable 
PBANKA_143890	inviable 
PBANKA_135110	competitive fitness: decreased 
PBANKA_145280	inviable 
PBANKA_093730	inviable 
PBANKA_143250	viable 
PBANKA_041440	viable 
PBANKA_090730	viable 
PBANKA_120190	inviable 
PBANKA_136430	viable 
PBANKA_142270	viable 
PBANKA_103550	viable 
PBANKA_120170	competitive fitness: decreased 
PBANKA_142960	inviable 
PBANKA_123790	inviable 
PBANKA_113100	viable 
PBANKA_030360	#N/A
PBANKA_133840	#N/A
PBANKA_082410	inviable 
PBANKA_031510	inviable 
PBANKA_103000	inviable 
PBANKA_100780	inviable 
PBANKA_081530	inviable 
PBANKA_101190	#N/A
PBANKA_082750	inviable 
PBANKA_130930	viable 
PBANKA_082270	inviable 
PBANKA_140800	#N/A
PBANKA_114120	viable 
PBANKA_083310	viable 
PBANKA_112850	#N/A
PBANKA_011020	viable 
PBANKA_080080	inviable 
PBANKA_020930	competitive fitness: decreased 
PBANKA_120780	viable 
PBANKA_135580	inviable 
PBANKA_132490	inviable 
PBANKA_100310	#N/A
PBANKA_103090	viable 
PBANKA_134750	#N/A
PBANKA_021340	inviable 
PBANKA_092220	viable 
PBANKA_112070	viable 
PBANKA_122290	viable 
PBANKA_120960	inviable 
PBANKA_080740	viable 
PBANKA_091060	viable 
PBANKA_051140	viable 
PBANKA_082390	inviable 
PBANKA_092290	inviable 
PBANKA_143800	viable 
PBANKA_123240	viable 
PBANKA_114340	viable 
PBANKA_124100	competitive fitness: decreased 
PBANKA_010600	viable 
PBANKA_143830	inviable 
PBANKA_131960	viable 
PBANKA_114300	inviable 
PBANKA_081760	viable 
PBANKA_134070	#N/A
PBANKA_101000	viable 
PBANKA_140790	viable 
PBANKA_132970	inviable 
PBANKA_092230	inviable 
PBANKA_061360	inviable 
PBANKA_120340	inviable 
PBANKA_134550	viable 
PBANKA_102890	viable 
PBANKA_050630	viable 
PBANKA_071010	viable 
PBANKA_040520	inviable 
PBANKA_052050	inviable 
PBANKA_111570	inviable 
PBANKA_040480	viable 
PBANKA_082480	viable 
PBANKA_122420	#N/A
PBANKA_080580	viable 
PBANKA_130260	inviable 
PBANKA_134620	inviable 
PBANKA_040720	viable 
PBANKA_130440	viable 
PBANKA_083260	inviable 
PBANKA_031090	inviable 
PBANKA_112120	#N/A
PBANKA_144410	inviable 
PBANKA_146340	competitive fitness: decreased 
PBANKA_103660	inviable 
PBANKA_021110	viable 
PBANKA_130640	inviable 
PBANKA_102430	inviable 
PBANKA_141310	viable 
PBANKA_010090	inviable 
PBANKA_146320	viable 
PBANKA_123720	viable 
PBANKA_071600	inviable 
PBANKA_102060	inviable 
PBANKA_123000	inviable 
PBANKA_111380	viable 
PBANKA_134650	inviable 
PBANKA_081980	viable 
PBANKA_040650	inviable 
PBANKA_143940	viable 
PBANKA_143510	viable 
PBANKA_092390	viable 
PBANKA_141420	inviable 
PBANKA_030320	viable 
PBANKA_101010	inviable 
PBANKA_111140	viable 
PBANKA_093710	viable 
PBANKA_091980	inviable 
PBANKA_011000	viable 
PBANKA_123150	viable 
PBANKA_130170	inviable 
PBANKA_051120	inviable 
PBANKA_070160	#N/A
PBANKA_040630	inviable 
PBANKA_021210	inviable 
PBANKA_071960	viable 
PBANKA_101130	viable 
PBANKA_060930	inviable 
PBANKA_142390	viable 
PBANKA_133520	viable 
PBANKA_081790	viable 
PBANKA_146420	inviable 
PBANKA_031400	competitive fitness: decreased 
PBANKA_121820	inviable 
PBANKA_031470	inviable 
PBANKA_061830	viable 
PBANKA_140110	viable 
PBANKA_060050	inviable 
PBANKA_135910	viable 
PBANKA_030310	viable 
PBANKA_103250	viable 
PBANKA_110250	viable 
PBANKA_132410	viable 
PBANKA_145030	viable 
PBANKA_061910	inviable 
PBANKA_145890	viable 
PBANKA_080360	#N/A
PBANKA_145630	#N/A
PBANKA_071460	viable 
PBANKA_124310	viable 
PBANKA_114350	viable 
PBANKA_141500	inviable 
PBANKA_145710	inviable 
PBANKA_145600	inviable 
PBANKA_020230	inviable 
PBANKA_041010	viable 
PBANKA_083170	viable 
PBANKA_081200	inviable 
PBANKA_020190	competitive fitness: decreased 
