Gene,Total,Ring,Tro,Sch,Gam,Ook
PBANKA_000700,4.1115685,0,0.793665483,0.054224683,0.152109834,0
PBANKA_000710,1.9756695,0,0.871019925,0.046635077,0.082344997,0
PBANKA_000720,2.9799475,0,0.720975789,0.14902578,0.129998431,0
PBANKA_000730,3.4783505,0.05034714,0.709353471,0.144838336,0.095461053,0
PBANKA_000740,2.602339,0,0.586083519,0.308389683,0.105526797,0
PBANKA_000750,2.7330745,0,0.582117319,0.160736379,0.257146302,0
PBANKA_000760,4.964778167,0,0.671781274,0.225848761,0.094371286,0.007998679
PBANKA_000770,1.648255,0,0.829471471,0.036225887,0.134302641,0
PBANKA_000780,2.8329525,0,0.788986049,0.093643822,0.117370129,0
PBANKA_000790,1.946085,0,1,0,0,0
PBANKA_000800,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PBANKA_000810,2.086337,0,0.767685182,0.126316841,0.105997976,0
PBANKA_000820,2.5707865,0,0.696394664,0.195970572,0.107634765,0
PBANKA_000830,3.1297685,0,0.80091387,0.164732951,0.03435318,0
PBANKA_000840,1.666741,0,0.824540226,0.108786548,0.066673226,0
PBANKA_000850,2.470289167,0.07089251,0.761649699,0.13143016,0.02240264,0.013624991
PBANKA_000860,2.219695167,0.078895969,0.610081519,0.146268057,0.149591261,0.015163193
PBANKA_000870,2.1345855,0,0.744196004,0.152100021,0.103703974,0
PBANKA_000880,8.66629,0,1,0,0,0
PBANKA_000890,1.7784115,0,0.841951933,0.033574625,0.124473442,0
PBANKA_000900,2.0501175,0.085421933,0.752613204,0,0.161964863,0
PBANKA_000910,2.2488455,0.254083707,0.715584952,0,0.030331341,0
PBANKA_000920,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PBANKA_000930,2.900989,0,0.63507135,0.264522892,0.100405758,0
PBANKA_000935,1.824886,0,0.759050154,0.111541488,0.129408358,0
PBANKA_000940,1.983663,0,0.754834365,0.133571579,0.111594056,0
PBANKA_000950,1.8742105,0,0.524500049,0.268805718,0.206694232,0
PBANKA_000960,3.960137,0,0.695171657,0.185052436,0.111298927,0.008476979
PBANKA_000970,3.330636,0,0.690040881,0.177032705,0.132926414,0
PBANKA_000980,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PBANKA_000990,4.3778605,0.040002417,0.522010694,0.349498802,0.088488087,0
PBANKA_001000,2.5069735,0,0.802339953,0.085374257,0.11228579,0
PBANKA_001010,3.3859685,0,0.703735135,0.181854911,0.114409954,0
PBANKA_001020,2.618755667,0,0.696468183,0.176546062,0.111821429,0.015164327
PBANKA_001030,1.226358333,0.284416056,0.201706543,0.050617343,0.375074305,0.088185753
PBANKA_001040,1.998860167,0,0.840358935,0.059743549,0.083059087,0.01683843
PBANKA_001050,2.9686645,0.107004513,0.677619515,0.150374183,0.065001788,0
PBANKA_010005,55.4397655,0.206419894,0.546311835,0.091607621,0.154737307,0.000923344
PBANKA_010010,107.163825,0.128315222,0.593212308,0.077731315,0.17245605,0.028285105
PBANKA_010020,1089.361533,0.244750702,0.49009533,0.106437575,0.131310401,0.027405992
PBANKA_010030,250.115258,0.567516757,0.220280444,0.117471242,0.070090886,0.024640672
PBANKA_010040,433.30175,0.1219987,0.026072258,0.82168835,0.020572257,0.009668435
PBANKA_010050,376.57032,0.378275962,0.289145199,0.221626203,0.089537195,0.021415442
PBANKA_010060,2937.397277,0.154726943,0.090302051,0.709233312,0.034279156,0.011458537
PBANKA_010070,2016.58864,0.462006718,0.262073776,0.226697449,0.034515492,0.014706564
PBANKA_010080,144.3132167,0.196214184,0.139006326,0.169649742,0.37346129,0.121668459
PBANKA_010090,211.6466,0.400356065,0.236523762,0.088142451,0.078916458,0.196061264
PBANKA_010100,282.8044783,0.273455535,0.509680755,0.13467308,0.010313716,0.071876915
PBANKA_010110,57.926095,0.146905725,0.266606958,0.237195343,0.25281352,0.096478452
PBANKA_010120,138.8362783,0.159456521,0.286887192,0.192621484,0.022351471,0.338683332
PBANKA_010130,150.9294433,0.238854654,0.4562569,0.138395462,0.020956945,0.145536039
PBANKA_010140,223.71795,0.171833329,0.28421613,0.346972158,0.074492011,0.122486372
PBANKA_010150,595.9600167,0.078044162,0.032870158,0.056901888,0.785536759,0.046647033
PBANKA_010160,89.75491833,0.425895881,0.252874722,0.211700934,0.042102595,0.067425869
PBANKA_010170,196.8920167,0.177991981,0.225941106,0.191702034,0.242883134,0.161481746
PBANKA_010180,1073.799067,0.161887364,0.112401383,0.059747584,0.423683084,0.242280586
PBANKA_010190,239.5412,0.102297016,0.265180061,0.473290816,0.109470312,0.049761795
PBANKA_010200,133.43278,0.087997979,0.392692485,0.35585521,0.047262037,0.116192288
PBANKA_010210,256.7655333,0.290594688,0.144508492,0.114436115,0.319326932,0.131133774
PBANKA_010220,197.4344,0.443166439,0.316945527,0.082349378,0.074309492,0.083229164
PBANKA_010230,229.3102667,0.068121895,0.388681681,0.196885646,0.209829462,0.136481315
PBANKA_010240,22.76373667,0.090844708,0.375376201,0.189082533,0.246349933,0.098346625
PBANKA_010250,109.66053,0.085947332,0.356367054,0.186633696,0.230065913,0.140986005
PBANKA_010260,219.03277,0.069079389,0.027875829,0.347841786,0.096759722,0.458443273
PBANKA_010270,117.4870733,0.10659428,0.069010699,0.105899012,0.588397072,0.130098937
PBANKA_010280,111.7172333,0.185747976,0.352546772,0.188637862,0.131131067,0.141936323
PBANKA_010290,302.69397,0.057492886,0.00517635,0.797638949,0.109761354,0.029930461
PBANKA_010300,886.7689167,0.079228927,0.113962723,0.143338809,0.213246649,0.450222893
PBANKA_010310,119.3092333,0.151769477,0.344393714,0.19934375,0.110152413,0.194340645
PBANKA_010320,1659.938787,0.038908272,0.004334178,0.024900497,0.830325799,0.101531254
PBANKA_010330,506.67395,0.37628765,0.419373248,0.10997161,0.043687365,0.050680127
PBANKA_010340,234.0269333,0.085865117,0.288163841,0.104917839,0.19384115,0.327212053
PBANKA_010350,88.18222833,0.136379974,0.179909833,0.239192186,0.078455207,0.366062799
PBANKA_010360,42.30141,0.184350829,0.26668851,0.140159512,0.13699366,0.271807488
PBANKA_010370,607.2751167,0.068284784,0.452822769,0.101708103,0.224458398,0.152725946
PBANKA_010380,341.9144,0.09044252,0.469621929,0.108275492,0.057428555,0.274231504
PBANKA_010390,540.9483167,0.280334545,0.221121587,0.145533774,0.137509532,0.215500563
PBANKA_010400,414.4416333,0.061765754,0.16940757,0.172582685,0.352340326,0.243903665
PBANKA_010410,246.94905,0.070894786,0.085469655,0.179685648,0.529975718,0.133974194
PBANKA_010420,263.3195,0.061737547,0.109798173,0.129830491,0.407544827,0.291088962
PBANKA_010430,50.40348833,0.105947131,0.417424482,0.2342942,0.188803301,0.053530885
PBANKA_010440,66.75265167,0.097410138,0.023535694,0.248133963,0.577000299,0.053919905
PBANKA_010450,1701.953965,0.026982722,0.002599844,0.019352639,0.556493019,0.394571777
PBANKA_010460,222.7167933,0.049742814,0.378385701,0.220890617,0.07250733,0.278473538
PBANKA_010470,705.6183167,0.069914639,0.225864318,0.27695001,0.319084687,0.108186345
PBANKA_010480,180.81835,0.408987528,0.191823452,0.274765808,0.069981282,0.05444193
PBANKA_010490,627.0822833,0.343520309,0.374613518,0.104562753,0.074225028,0.103078392
PBANKA_010500,608.8749333,0.102279215,0.124498228,0.195292159,0.196868016,0.381062383
PBANKA_010510,2844.457857,0.03643675,0.002265121,0.017423232,0.914437876,0.029437021
PBANKA_010520,296.226475,0.332946101,0.281848711,0.216250421,0.023304045,0.145650722
PBANKA_010530,364.587735,0.148253342,0.169887777,0.074939575,0.020081956,0.586837349
PBANKA_010540,434.1726,0.148193253,0.40314497,0.317025994,0.054382865,0.077252917
PBANKA_010550,608.2815333,0.211748167,0.332395427,0.09264978,0.056242954,0.306963672
PBANKA_010560,549.0959617,0.461310987,0.405008442,0.0835252,0.01605101,0.034104361
PBANKA_010570,83.62345667,0.04297879,0.063563086,0.058384814,0.367957164,0.467116144
PBANKA_010580,247.51295,0.060612384,0.188149953,0.245687953,0.273281459,0.232268251
PBANKA_010590,176.4498833,0.083372682,0.18960823,0.325016934,0.30726175,0.094740405
PBANKA_010600,329.5191,0.077224052,0.218939813,0.37084345,0.160453673,0.172539012
PBANKA_010610,182.6424333,0.094462714,0.318114465,0.184861751,0.197096038,0.205465032
PBANKA_010620,98.87154,0.088228625,0.057239323,0.185173104,0.493022057,0.176336891
PBANKA_010630,445.8262567,0.117648746,0.010876412,0.459458134,0.370049986,0.041966722
PBANKA_010640,229.95116,0.092135652,0.147271273,0.102112118,0.023383487,0.63509747
PBANKA_010650,359.4725917,0.095376395,0.270588224,0.051032124,0.013519598,0.569483659
PBANKA_010660,205.0493067,0.111657534,0.398116684,0.135339155,0.039558729,0.315327897
PBANKA_010670,202.115455,0.088921453,0.416996315,0.164446356,0.03781554,0.291820336
PBANKA_010680,221.3185367,0.079758434,0.230334751,0.146139137,0.293969502,0.249798176
PBANKA_010690,212.8876333,0.140851066,0.371602139,0.238278284,0.144544563,0.104723947
PBANKA_010695,179.2016667,0.182376373,0.293574837,0.185431311,0.102445755,0.236171725
PBANKA_010700,2986.213883,0.035964788,0.093544371,0.13216267,0.126729201,0.611598969
PBANKA_010710,883.1703,0.098395915,0.583788314,0.205351108,0.0724392,0.040025463
PBANKA_010720,457.8582283,0.040284522,0.025401083,0.05351045,0.406407461,0.474396483
PBANKA_010730,717.9746333,0.138329748,0.645958058,0.117826517,0.043541789,0.054343888
PBANKA_010740,391.4434,0.072854977,0.449246302,0.269048986,0.113456377,0.095393357
PBANKA_010750,93.69613333,0.134873762,0.289852943,0.236688529,0.136724425,0.20186034
PBANKA_010760,125.3670183,0.229714325,0.285829164,0.415644008,0.021417236,0.047395267
PBANKA_010770,995.843,0.284550376,0.202690083,0.036484165,0.13266298,0.343612397
