current_version_ID,category
PBANKA_0930400,mitochondrial translation
PBANKA_1016100,mitochondrial translation
PBANKA_0915700,mitochondrial translation
PBANKA_0102500,mitochondrial translation
PBANKA_1453600,mitochondrial translation
PBANKA_0705400,mitochondrial translation
PBANKA_1013700,mitochondrial translation
PBANKA_1420200,mitochondrial translation
PBANKA_1015000,mitochondrial translation
PBANKA_1221500,mitochondrial translation
PBANKA_1306100,mitochondrial translation
PBANKA_0934100,mitochondrial translation
PBANKA_1309100,mitochondrial translation
PBANKA_0413900,mitochondrial translation
PBANKA_0613400,mitochondrial translation
PBANKA_0610000,mitochondrial translation
PBANKA_1233900,mitochondrial translation
PBANKA_1208400,mitochondrial translation
PBANKA_1318300,mitochondrial translation
PBANKA_0413300,mitochondrial translation
PBANKA_0511300,mitochondrial translation
PBANKA_0911600,mitochondrial translation
PBANKA_1438800,mitochondrial translation
PBANKA_1409400,mitochondrial translation
PBANKA_1458600,mitochondrial translation
PBANKA_0937000,mitochondrial translation
PBANKA_1448000,mitochondrial translation
PBANKA_1037700,mitochondrial translation
PBANKA_1311100,mitochondrial translation
PBANKA_0706300,mitochondrial translation
PBANKA_0616000,mitochondrial translation
PBANKA_0307300,mitochondrial translation
PBANKA_1302100,mitochondrial translation
PBANKA_1320300,mitochondrial translation
PBANKA_0708800,mitochondrial translation
PBANKA_1140900,mitochondrial translation
PBANKA_0108500,mitochondrial translation
PBANKA_1010000,mitochondrial translation
PBANKA_1245600,mitochondrial translation
PBANKA_1352900,mitochondrial translation
PBANKA_1209200,mitochondrial translation
PBANKA_0103000,mitochondrial translation
PBANKA_0924600,mitochondrial translation
PBANKA_1125700,mitochondrial translation
PBANKA_0904900,mitochondrial translation
PBANKA_0309000,mitochondrial translation
PBANKA_0504700,mitochondrial translation
PBANKA_1240400,mitochondrial translation
PBANKA_1021300,mitochondrial translation
PBANKA_1009000,mitochondrial translation
PBANKA_1327200,mitochondrial translation
PBANKA_1124200,"mtDNA replication, repair and transcription"
PBANKA_1036800,"mtDNA replication, repair and transcription"
PBANKA_1402600,"mtDNA replication, repair and transcription"
PBANKA_1141400,"mtDNA replication, repair and transcription"
PBANKA_0414100,"mtDNA replication, repair and transcription"
PBANKA_1229500,"mtDNA replication, repair and transcription"
PBANKA_0923000,"mtDNA replication, repair and transcription"
PBANKA_1214000,chaperones & protein quality control
PBANKA_0928500,chaperones & protein quality control
PBANKA_1445100,chaperones & protein quality control
PBANKA_1431050,chaperones & protein quality control
PBANKA_1454100,chaperones & protein quality control
PBANKA_1358100,chaperones & protein quality control
PBANKA_1027800,chaperones & protein quality control
PBANKA_1213100,chaperones & protein quality control
PBANKA_0701500,chaperones & protein quality control
PBANKA_0808900,chaperones & protein quality control
PBANKA_1114700,chaperones & protein quality control
PBANKA_0929900,chaperones & protein quality control
PBANKA_1328300,chaperones & protein quality control
PBANKA_1322900,chaperones & protein quality control
PBANKA_0826300,redox homeostasis & antioxidant system
PBANKA_1446900,redox homeostasis & antioxidant system
PBANKA_1430800,redox homeostasis & antioxidant system
PBANKA_0824700,redox homeostasis & antioxidant system
PBANKA_1219700,redox homeostasis & antioxidant system
PBANKA_0610500,redox homeostasis & antioxidant system
